,DATE,avalanche_sum,PRCP,SNWD,TMAX,TMIN,MONTH_1,MONTH_10,MONTH_11,MONTH_12,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,snow_diff_day,snow_diff_week,got_snow,min_below_freezing,max_above_freezing,min*max,avalanche_binary,Region_Ogden,Region_Provo,Region_Salt Lake,Region_Uintas
3801,2010-04-13,0.0,1.24,106.0,30.0,22.0,0,0,0,0,0,0,1,0,0,0,0,0,15.0,-20.0,1,1,0,0,False,0,0,1,0
3802,2010-04-14,0.0,0.0,94.0,44.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,-12.0,-19.0,0,1,1,1,False,0,0,1,0
3803,2010-04-15,0.0,0.0,87.0,55.0,9.0,0,0,0,0,0,0,1,0,0,0,0,0,-7.0,-18.0,0,1,1,1,False,0,0,1,0
3804,2010-04-16,0.0,0.0,83.0,56.0,36.0,0,0,0,0,0,0,1,0,0,0,0,0,-4.0,-18.0,0,0,1,0,False,0,0,1,0
3805,2010-04-17,0.0,0.0,76.0,49.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,-7.0,-16.0,0,1,1,1,False,0,0,1,0
3806,2010-04-18,0.0,0.0,78.0,57.0,22.0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,-13.0,1,1,1,1,False,0,0,1,0
3807,2010-04-19,0.0,0.0,74.0,58.0,33.0,0,0,0,0,0,0,1,0,0,0,0,0,-4.0,-17.0,0,0,1,0,False,0,0,1,0
3808,2010-04-20,0.0,0.0,72.0,58.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,-2.0,-34.0,0,1,1,1,False,0,0,1,0
3809,2010-04-21,0.0,0.0,72.0,53.0,25.0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-22.0,0,1,1,1,False,0,0,1,0
3811,2010-04-23,0.0,0.32,72.0,29.0,22.0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,-11.0,1,1,0,0,False,0,0,1,0
3812,2010-04-24,0.0,0.0,70.0,41.0,21.0,0,0,0,0,0,0,1,0,0,0,0,0,-2.0,-6.0,0,1,1,1,False,0,0,1,0
3813,2010-04-25,0.0,0.0,65.0,36.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,-5.0,-13.0,0,1,1,1,False,0,0,1,0
3814,2010-04-26,0.0,0.0,65.0,45.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-9.0,0,1,1,1,False,0,0,1,0
3816,2010-04-28,0.0,0.34,68.0,49.0,20.0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,-4.0,1,1,1,1,False,0,0,1,0
3817,2010-04-29,1.0,1.67,71.0,20.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,3.0,1,1,0,0,True,0,0,1,0
3820,2010-05-02,0.0,2.44,102.0,25.0,19.0,0,0,0,0,0,0,0,1,0,0,0,0,10.0,37.0,1,1,0,0,False,0,0,1,0
3821,2010-05-03,0.0,0.0,78.0,43.0,20.0,0,0,0,0,0,0,0,1,0,0,0,0,-24.0,13.0,0,1,1,1,False,0,0,1,0
3822,2010-05-04,0.0,0.0,84.0,44.0,23.0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,21.0,1,1,1,1,False,0,0,1,0
