STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDMV,WESD,WT01,WT03
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/25/2000,,,,,,0.5,,92,16,24,13,15,,27.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/26/2000,,,,,,0.1,,87,22,29,15,29,,27.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/27/2000,,,,,,0.1,,86,33,38,28,29,,28,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/28/2000,,,,,,0.5,,88,27,30,25,26,,28.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/29/2000,,,,,,0.1,,87,28,35,22,29,,28.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/1/2000,,,,,,0,,84,30,41,23,24,,28.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/2/2000,,,,,,0.1,,84,27,37,22,22,,28.7,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/3/2000,,,,,,0,,82,32,45,22,30,,28.7,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/4/2000,,,,,,0,,80,40,49,31,37,,28.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/5/2000,,,,,,0.6,,81,34,43,26,27,,29.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/6/2000,,,,,,0.3,,83,27,42,21,21,,29.7,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/7/2000,,,,,,0,,81,23,33,16,22,,29.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/8/2000,,,,,,0.4,,84,25,29,21,26,,30.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/9/2000,,,,,,2.2,,102,24,26,21,21,,32.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/10/2000,,,,,,0.1,,99,23,37,17,22,,33.1,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/11/2000,,,,,,0,,96,26,34,22,22,,33.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/12/2000,,,,,,0.1,,95,26,38,18,24,,33.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/13/2000,,,,,,0.1,,92,33,44,24,31,,33.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/14/2000,,,,,,0.1,,91,33,37,31,31,,33.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/15/2000,,,,,,0,,91,25,32,19,19,,33.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/16/2000,,,,,,0,,89,29,41,18,27,,33.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/17/2000,,,,,,0.1,,92,23,33,19,21,,34,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/18/2000,,,,,,0.5,,90,27,40,17,28,,34.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/19/2000,,,,,,0.1,,98,25,34,13,13,,35.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/20/2000,,,,,,0.1,,97,16,24,10,14,,35.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/21/2000,,,,,,0.2,,95,24,38,11,24,,35.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/22/2000,,,,,,0,,93,33,46,22,35,,36,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/23/2000,,,,,,0,,93,33,44,22,22,,36.1,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/24/2000,,,,,,0.2,,90,31,44,17,37,,36.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/25/2000,,,,,,0,,88,42,54,33,41,,36.1,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/26/2000,,,,,,0,,86,42,51,36,40,,35.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/27/2000,,,,,,0.1,,84,44,56,34,34,,35.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/28/2000,,,,,,0.4,,83,31,43,19,19,,35.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/29/2000,,,,,,0,,84,27,38,19,21,,35.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/30/2000,,,,,,0.3,,86,25,34,19,22,,36.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,3/31/2000,,,,,,0,,84,30,42,18,29,,36.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/1/2000,,,,,,0,,83,35,45,24,34,,36.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/2/2000,,,,,,0,,82,36,46,29,30,,36.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/3/2000,,,,,,0,,80,39,51,28,42,,36,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/4/2000,,,,,,0,,76,49,55,41,48,,35.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/5/2000,,,,,,0,,74,45,51,40,42,,34.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/6/2000,,,,,,0,,73,41,45,33,33,,34.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/7/2000,,,,,,0,,71,36,48,27,33,,34.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/8/2000,,,,,,0,,70,43,54,29,44,,33.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/9/2000,,,,,,0,,68,40,48,33,33,,33.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/10/2000,,,,,,0,,67,40,52,29,39,,32.7,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/11/2000,,,,,,0,,65,44,54,35,42,,32.1,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/12/2000,,,,,,0,,64,48,56,38,48,,31.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/13/2000,,,,,,0.1,,61,48,57,35,36,,30.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/14/2000,,,,,,0.8,,63,33,37,30,30,,31.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/15/2000,,,,,,0,,63,36,49,30,34,,31.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/16/2000,,,,,,0,,62,40,48,34,43,,31.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/17/2000,,,,,,0.1,,60,46,55,41,47,,30.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/18/2000,,,,,,1.4,,65,35,47,28,30,,31.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/19/2000,,,,,,0.2,,65,33,41,28,33,,32.1,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/20/2000,,,,,,0,,62,44,56,32,43,,31.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/21/2000,,,,,,0,,61,49,61,42,46,,31.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/22/2000,,,,,,0.1,,59,43,56,37,39,,30.7,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/23/2000,,,,,,0.1,,57,38,47,29,29,,30,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/24/2000,,,,,,0,,55,32,38,26,34,,29.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/25/2000,,,,,,0,,54,45,51,35,46,,29,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/26/2000,,,,,,0,,51,48,57,38,45,,28.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/27/2000,,,,,,0,,46,56,65,45,51,,26.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/28/2000,,,,,,0,,43,50,63,32,32,,25.1,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/29/2000,,,,,,0,,40,35,45,27,33,,24.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,4/30/2000,,,,,,0,,38,43,56,30,46,,23.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/1/2000,,,,,,0,,35,52,62,42,49,,21.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/2/2000,,,,,,0,,30,54,61,48,49,,20.1,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/3/2000,,,,,,0,,27,57,64,47,51,,18.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/4/2000,,,,,,0,,23,57,66,49,54,,16.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/5/2000,,,,,,0,,22,43,55,34,34,,15.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/6/2000,,,,,,0.2,,20,41,49,34,40,,14.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/7/2000,,,,,,0.2,,19,38,43,35,36,,13.8,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/8/2000,,,,,,0.1,,18,38,44,35,37,,13,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/9/2000,,,,,,0,,15,43,48,36,40,,12,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/10/2000,,,,,,0.6,,19,34,42,23,23,,12.2,,
